Date,"Peso (kg)","Masa grasa (kg)","Bone mass (kg)","Muscle mass (kg)","Hidratación (kg)",Comentarios
"2020-08-21 09:23:06",92.20,18.67,,,,
"2020-08-20 09:59:55",92.35,15.47,,,,
"2020-08-19 10:43:59",92.20,13.66,,,,
"2020-08-18 11:02:49",91.95,13.44,,,,
"2020-08-18 00:32:35",92.55,13.18,,,,
"2020-08-16 08:43:19",91.85,17.46,,,,
"2020-08-14 09:31:01",91.00,16.66,,,,
"2020-08-12 13:18:46",90.85,15.05,,,,
"2020-08-12 08:17:01",90.60,17.19,,,,
"2020-08-11 08:47:21",90.80,17.11,,,,
"2020-08-10 12:15:09",90.60,13.38,,,,
"2020-08-09 12:41:50",90.75,,,,,
"2020-08-07 20:57:13",89.65,14.79,,,,
"2020-08-07 20:56:58",89.65,14.86,,,,
"2020-08-07 13:26:53",89.80,14.75,,,,
"2020-08-07 07:55:08",90.40,17.55,,,,
"2020-08-06 22:57:40",90.35,14.95,,,,
"2020-08-06 08:25:23",90.60,17.33,,,,
"2020-08-05 17:40:09",90.65,15.42,,,,
"2020-08-05 10:18:22",90.70,14.38,,,,
"2020-08-04 23:48:34",91.00,13.54,,,,
"2020-08-04 12:28:49",90.35,14.81,,,,
"2020-08-03 23:37:34",90.75,13.40,,,,
"2020-08-03 08:14:35",90.80,16.53,,,,
"2020-08-03 00:00:31",90.65,14.20,,,,
"2020-08-02 14:07:28",90.25,13.89,,,,
"2020-07-29 11:07:33",91.05,14.15,,,,
"2020-07-28 11:17:44",91.10,15.42,,,,
"2020-07-28 00:08:40",91.15,13.56,,,,
"2020-07-28 00:07:56",90.75,13.18,,,,
"2020-07-27 18:21:31",93.15,14.60,,,,
"2020-07-25 23:27:16",91.30,15.70,,,,
"2020-07-23 12:15:41",91.25,15.08,,,,
"2020-07-23 00:02:23",91.75,13.32,,,,
"2020-07-22 08:04:19",91.75,17.69,,,,
"2020-07-21 09:06:19",92.50,16.55,,,,
"2020-07-20 23:28:33",92.50,12.10,,,,
"2020-07-20 11:38:40",92.95,14.25,,,,
"2020-07-19 23:41:16",93.50,14.81,,,,
"2020-07-19 09:37:26",93.15,17.28,,,,
"2020-07-17 09:58:19",92.00,17.49,,,,
"2020-07-15 10:36:18",91.55,16.89,,,,
"2020-07-14 14:00:07",91.25,15.96,,,,
"2020-07-12 10:58:49",91.75,16.13,,,,
"2020-07-10 09:55:30",91.20,16.65,,,,
"2020-07-09 08:52:54",91.75,19.09,,,,
"2020-07-08 23:19:47",91.95,17.16,,,,
"2020-07-08 01:19:01",92.05,13.50,,,,
"2020-07-06 09:38:14",92.20,16.20,,,,
"2020-07-04 23:02:57",92.55,14.77,,,,
"2020-07-03 12:08:49",92.05,13.79,,,,
"2020-07-02 22:24:00",91.90,13.63,,,,
"2020-07-02 00:05:02",91.65,13.41,,,,
"2020-06-30 22:54:49",91.55,14.83,,,,
"2020-06-29 17:39:04",91.60,,,,,
"2020-06-28 13:15:21",91.05,14.59,,,,
"2020-06-27 23:52:53",92.10,14.35,,,,
"2020-06-26 17:49:13",91.90,15.71,,,,
"2020-06-25 23:27:55",92.05,13.65,,,,
"2020-06-25 09:51:09",92.20,18.60,,,,
"2020-06-24 10:15:15",92.40,16.71,,,,
"2020-06-20 23:55:56",92.55,14.09,,,,
"2020-06-19 22:56:35",93.05,15.69,,,,
"2020-06-17 18:37:42",92.15,12.58,,,,
"2020-06-16 09:15:57",92.85,16.93,,,,
"2020-06-15 10:35:22",92.50,13.53,,,,
"2020-06-15 09:17:55",92.65,16.19,,,,
"2020-06-14 23:32:20",93.10,14.65,,,,
"2020-06-13 08:37:41",92.30,18.14,,,,
"2020-06-12 10:11:47",92.55,,,,,
"2020-06-10 08:58:34",91.65,16.73,,,,
"2020-06-09 23:09:44",92.25,14.06,,,,
"2020-06-09 09:34:29",91.80,16.02,,,,
"2020-06-09 00:23:56",92.05,15.51,,,,
"2020-06-08 09:18:38",91.05,17.79,,,,
"2020-06-07 22:15:41",91.35,16.39,,,,
"2020-06-07 10:28:35",91.60,17.14,,,,
"2020-06-07 01:13:25",91.60,14.93,,,,
"2020-06-06 09:14:45",91.90,18.31,,,,
"2020-06-06 00:18:32",92.25,15.71,,,,
"2020-06-06 00:02:45",92.50,17.08,,,,
"2020-06-04 00:34:14",92.80,14.31,,,,
"2020-06-03 08:09:14",92.65,16.12,,,,
"2020-06-02 23:29:18",92.80,14.09,,,,
"2020-06-02 09:17:40",93.55,16.24,,,,
"2020-06-01 10:31:47",93.90,17.48,,,,
"2020-06-01 00:52:51",94.65,,,,,
"2020-05-30 23:21:28",93.15,14.68,,,,
"2020-05-30 00:46:33",93.35,15.57,,,,
"2020-05-29 09:22:18",92.90,2.79,,,,
"2020-05-29 03:29:15",93.10,15.64,,,,
"2020-05-28 08:38:24",92.95,17.15,,,,
"2020-05-27 07:22:02",93.35,16.88,,,,
"2020-05-26 16:25:12",93.00,15.20,,,,
"2020-05-25 23:38:36",93.40,14.21,,,,
"2020-05-25 08:17:52",93.25,17.35,,,,
